ins,model,time,groundsize
instrectL1412_28_30,1+,75.691,1855
instrectL1412_28_31,1+,19.053,1855
instrectL1412_30_13,1+,53.546,1851
instrectL1412_30_16,1+,39.129,1851
instrectL1412_30_3,1+,0.977,1851
instrectL1412_30_30,1+,22.723,1851
instrectL1412_32_15,1+,18.650,1847
instrectL1412_32_25,1+,118.973,1847
instrectL1412_32_3,1+,3.370,1847
instrectL1412_32_30,1+,115.224,1847
instrectL1412_34_26,1+,78.303,1843
instrectL1412_36_16,1+,10.545,1839
instrectL1412_36_23,1+,47.814,1839
instrectL1412_38_13,1+,1.757,1835
instrectL1412_38_36,1+,2.100,1835
instrectL1412_4_12,1+,20.504,1903
instrectL1412_4_19,1+,93.643,1903
instrectL1412_42_30,1+,50.833,1827
instrectL1412_48_24,0,170.991,1816
instrectL1412_4_9,0+,199.995,1903
instrectL1412_52_32,0+,199.995,1807
instrectL1412_58_12,0,189.008,1795
instrectL1412_58_20,0,187.931,1795
instrectL1412_58_36,0,135.665,1795
instrectL1412_6_11,1+,29.680,1899
instrectL1412_6_17,1+,144.924,1899
instrectL1412_6_18,0+,199.994,1899
instrectL1412_6_23,1+,11.813,1899
instrectL1412_62_30,0,70.901,1787
instrectL1412_6_32,0+,199.981,1899
instrectL1412_6_35,1+,7.759,1899
instrectL1412_6_36,1+,174.850,1899
instrectL1412_6_4,1+,11.590,1899
instrectL1412_64_33,0,145.476,1783
instrectL1412_6_5,1+,3.561,1899
instrectL1412_6_6,1+,14.498,1899
instrectL1412_66_22,0,125.166,1779
instrectL1412_66_9,0+,199.989,1779
instrectL1412_68_15,0,198.561,1776
instrectL1412_68_27,0,168.804,1775
instrectL1412_72_8,0,86.245,1767
instrectL1412_8_0,1+,15.849,1895
instrectL1412_8_19,1+,25.126,1895
instrectL1412_8_21,0+,199.992,1895
instrectL1412_8_23,1+,43.604,1895
instrectL1412_8_37,1+,126.680,1895
instrectL1412_8_6,1+,50.118,1895
instrectL4_0_0,1+,124.876,2191
instrectL4_0_4,1+,125.156,2191
instrectL4_0_5,1+,126.139,2191
instrectL4_0_7,1+,125.348,2191
instrectL4_0_9,1+,123.253,2191
instrectL4_1_0,1+,8.019,1997
instrectL4_10_8,1+,26.147,2171
instrectL4_11_0,0+,199.982,1978
instrectL4_1_11,1+,1.804,1997
instrectL4_11_1,1+,48.938,1977
instrectL4_11_10,1+,25.012,1977
instrectL4_11_16,0+,199.992,1977
instrectL4_11_18,1+,151.202,1977
instrectL4_11_2,1+,132.431,1977
instrectL4_1_15,1+,6.061,1997
instrectL4_11_5,1+,137.155,1977
instrectL4_1_16,0+,199.995,1997
instrectL4_1_17,1+,58.525,1997
instrectL4_1_19,1+,1.641,1997
instrectL4_11_9,1+,15.879,1977
instrectL4_1_2,1+,114.473,1997
instrectL4_12_6,0+,199.993,2167
instrectL4_1_3,1+,62.597,1997
instrectL4_1_4,1+,11.763,1997
instrectL4_14_5,0+,199.995,2163
instrectL4_14_8,0+,199.996,2163
instrectL4_14_9,0+,199.996,2163
instrectL4_1_6,1+,4.175,1997
instrectL4_16_1,1+,175.026,2159
instrectL4_16_4,1+,36.356,2159
instrectL4_16_6,1+,7.521,2159
instrectL4_16_8,1+,45.742,2159
instrectL4_1_7,1+,45.947,1997
instrectL4_1_8,1+,52.653,1997
instrectL4_18_4,1+,4.633,2155
instrectL4_18_8,1+,194.798,2155
instrectL4_20_4,1+,11.897,2151
instrectL4_20_5,1+,149.756,2151
instrectL4_20_6,1+,193.081,2151
instrectL4_2_1,1+,58.197,2187
instrectL4_21_10,1+,16.348,1957
instrectL4_21_11,0+,199.994,1957
instrectL4_21_18,1+,6.634,1957
instrectL4_21_2,1+,10.324,1957
instrectL4_21_5,1+,16.544,1957
instrectL4_21_7,1+,185.041,1957
instrectL4_21_8,1+,73.456,1957
instrectL4_2_2,1+,188.634,2187
instrectL4_22_0,1+,21.900,2147
instrectL4_2_3,1+,171.858,2187
instrectL4_24_7,1+,51.832,2143
instrectL4_24_8,1+,52.022,2143
instrectL4_26_2,0+,199.996,2139
instrectL4_26_3,1+,168.500,2139
instrectL4_26_5,0+,199.996,2140
instrectL4_2_8,1+,30.816,2187
instrectL4_28_7,0+,199.996,2135
instrectL4_28_9,1+,11.683,2135
instrectL4_30_0,1+,76.698,2131
instrectL4_30_2,0+,199.996,2131
instrectL4_31_0,1+,127.973,1937
instrectL4_31_16,1+,9.305,1937
instrectL4_31_7,1+,25.869,1937
instrectL4_31_8,1+,9.608,1937
instrectL4_32_3,0+,199.996,2128
instrectL4_32_4,1+,77.102,2127
instrectL4_32_7,0+,199.996,2127
instrectL4_34_0,0+,199.995,2123
instrectL4_34_3,1+,5.038,2123
