algorithm,instance_id,runtime
ham10,instrectL1412_48_24,199.992
ham10,instrectL1412_4_9,199.970
ham10,instrectL1412_52_32,199.992
ham10,instrectL1412_58_12,199.991
ham10,instrectL1412_58_20,199.994
ham10,instrectL1412_58_36,199.990
ham10,instrectL1412_6_11,199.990
ham10,instrectL1412_6_17,148.482
ham10,instrectL1412_6_18,170.622
ham10,instrectL1412_6_23,199.993
ham10,instrectL1412_62_30,199.994
ham10,instrectL1412_6_32,199.974
ham10,instrectL1412_6_35,152.486
ham10,instrectL1412_6_36,198.984
ham10,instrectL1412_6_4,199.993
ham10,instrectL1412_64_33,166.899
ham10,instrectL1412_6_5,192.030
ham10,instrectL1412_6_6,199.994
ham10,instrectL1412_66_22,199.990
ham10,instrectL1412_66_9,199.989
ham10,instrectL1412_68_15,180.556
ham10,instrectL1412_68_27,199.991
ham10,instrectL1412_72_8,199.993
ham10,instrectL1412_8_0,180.752
ham10,instrectL1412_8_19,191.511
ham10,instrectL1412_8_21,199.993
ham10,instrectL1412_8_23,199.992
ham10,instrectL1412_8_37,199.994
ham10,instrectL1412_8_6,199.990
ham10,instrectL4_0_0,134.818
ham10,instrectL4_0_4,101.251
ham10,instrectL4_0_5,135.190
ham10,instrectL4_0_7,125.937
ham10,instrectL4_0_9,112.284
ham10,instrectL4_1_0,29.406
ham10,instrectL4_10_8,121.876
ham10,instrectL4_11_0,199.994
ham10,instrectL4_1_11,199.989
ham10,instrectL4_11_1,82.243
ham10,instrectL4_11_10,53.852
ham10,instrectL4_11_16,37.398
ham10,instrectL4_11_18,152.881
ham10,instrectL4_11_2,3.809
ham10,instrectL4_1_15,199.989
ham10,instrectL4_11_5,199.994
ham10,instrectL4_1_16,93.557
ham10,instrectL4_1_17,89.058
ham10,instrectL4_1_19,107.992
ham10,instrectL4_11_9,181.907
ham10,instrectL4_1_2,199.989
ham10,instrectL4_12_6,97.865
ham10,instrectL4_1_3,143.969
ham10,instrectL4_1_4,95.401
ham10,instrectL4_14_5,178.357
ham10,instrectL4_14_8,142.714
ham10,instrectL4_14_9,186.674
ham10,instrectL4_1_6,75.221
ham10,instrectL4_16_1,199.991
ham10,instrectL4_16_4,168.884
ham10,instrectL4_16_6,152.303
ham10,instrectL4_16_8,183.977
ham10,instrectL4_1_7,96.790
ham10,instrectL4_1_8,79.798
ham10,instrectL4_18_4,170.528
ham10,instrectL4_18_8,116.314
ham10,instrectL4_20_4,199.993
ham10,instrectL4_20_5,162.589
ham10,instrectL4_20_6,150.639
ham10,instrectL4_2_1,191.454
ham10,instrectL4_21_10,86.499
ham10,instrectL4_21_11,98.285
ham10,instrectL4_21_18,102.585
ham10,instrectL4_21_2,135.101
ham10,instrectL4_21_5,199.990
ham10,instrectL4_21_7,103.158
ham10,instrectL4_21_8,101.080
ham10,instrectL4_2_2,79.723
ham10,instrectL4_22_0,199.993
ham10,instrectL4_2_3,199.990
ham10,instrectL4_24_7,199.992
ham10,instrectL4_24_8,126.688
ham10,instrectL4_26_2,199.992
ham10,instrectL4_26_3,199.968
ham10,instrectL4_26_5,199.989
ham10,instrectL4_2_8,199.981
ham10,instrectL4_28_7,199.986
ham10,instrectL4_28_9,169.038
ham10,instrectL4_30_0,131.050
ham10,instrectL4_30_2,199.994
ham10,instrectL4_31_0,199.994
ham10,instrectL4_31_16,85.453
ham10,instrectL4_31_7,66.899
ham10,instrectL4_31_8,199.989
ham10,instrectL4_32_3,162.847
ham10,instrectL4_32_4,199.985
ham10,instrectL4_32_7,199.990
ham10,instrectL4_34_0,189.776
ham10,instrectL4_34_3,199.990
ham10,instrectL4_34_4,199.994
ham10,instrectL4_34_8,199.993
ham10,instrectL4_34_9,142.222
ham10,instrectL4_36_5,199.991
ham10,instrectL4_36_8,179.231
ham10,instrectL4_38_0,199.983
ham10,instrectL4_38_4,197.157
ham10,instrectL4_38_6,138.620
ham10,instrectL4_38_7,199.987
ham10,instrectL4_38_8,199.987
ham10,instrectL4_40_0,180.330
ham10,instrectL4_40_7,199.992
ham10,instrectL4_40_8,199.993
ham10,instrectL4_41_0,0.004
ham10,instrectL4_41_1,0.004
ham10,instrectL4_41_5,106.202
ham10,instrectL4_42_0,179.092
ham10,instrectL4_44_0,130.244
ham10,instrectL4_4_5,199.990
ham10,instrectL4_4_6,199.991
ham10,instrectL4_4_7,192.381
ham10,instrectL4_4_8,199.989
ham10,instrectL4_48_5,185.654
ham10,instrectL4_48_9,73.586
ham10,instrectL4_50_8,137.218
ham10,instrectL4_60_7,199.993
ham10,instrectL4_60_9,71.875
ham10,instrectL4_6_1,70.095
ham10,instrectL4_61_0,37.042
ham10,instrectL4_61_13,30.778
ham10,instrectL4_61_4,50.038
ham10,instrectL4_62_2,199.991
ham10,instrectL4_71_12,31.361
ham10,instrectL4_71_2,33.834
ham10,instsquare12_13_17,103.555
ham10,instsquare12_16_10,130.799
ham10,instsquare12_16_4,105.129
ham10,insttri200_101_10,67.010
ham10,insttri200_101_7,42.874
ham10,insttri200_101_8,124.086
ham10,insttri200_1_1,199.991
ham10,insttri200_111_3,40.020
ham10,insttri200_11_5,121.208
ham10,insttri200_1_2,199.992
ham10,insttri200_121_3,86.877
ham10,insttri200_121_5,48.793
ham10,insttri200_131_10,53.628
ham10,insttri200_131_4,47.925
ham10,insttri200_131_6,57.647
ham10,insttri200_141_3,97.383
ham10,insttri200_141_6,199.991
ham10,insttri200_141_7,53.670
ham10,insttri200_151_5,66.885
ham10,insttri200_161_1,73.874
ham10,insttri200_161_5,121.115
ham10,insttri200_17_1,0.028
ham10,insttri200_171_6,30.036
ham10,insttri200_17_2,16.737
ham10,insttri200_1_9,106.725
ham10,insttri200_21_7,167.832
ham10,insttri200_221_2,55.344
ham10,insttri200_25_1,0.843
ham10,insttri200_25_2,0.035
