ins,model,time,groundsize
instrectL4_34_0,1+,189.776,2889
instrectL4_34_3,0+,199.990,2889
instrectL4_34_4,0+,199.994,2890
instrectL4_34_8,0+,199.993,2890
instrectL4_34_9,1+,142.222,2890
instrectL4_36_5,0+,199.991,2886
instrectL4_36_8,1+,179.231,2885
instrectL4_38_0,0+,199.983,2881
instrectL4_38_4,1+,197.157,2883
instrectL4_38_6,1+,138.620,2881
instrectL4_38_7,0+,199.987,2881
instrectL4_38_8,0+,199.987,2882
instrectL4_40_0,1+,180.330,2879
instrectL4_40_7,0+,199.992,2878
instrectL4_40_8,0+,199.993,2879
instrectL4_41_0,0,0.004,2616
instrectL4_41_1,0,0.004,2619
instrectL4_41_5,1+,106.202,2619
instrectL4_42_0,1+,179.092,2873
instrectL4_44_0,1+,130.244,2871
instrectL4_4_5,0+,199.990,2951
instrectL4_4_6,0+,199.991,2951
instrectL4_4_7,1+,192.381,2951
instrectL4_4_8,0+,199.989,2951
instrectL4_48_5,1+,185.654,2860
instrectL4_48_9,1+,73.586,2861
instrectL4_50_8,1+,137.218,2858
instrectL4_60_7,0+,199.993,2834
instrectL4_60_9,1+,71.875,2836
instrectL4_6_1,1+,70.095,2946
instrectL4_61_0,0,37.042,2580
instrectL4_61_13,0,30.778,2575
instrectL4_61_4,0,50.038,2577
instrectL4_62_2,0+,199.991,2829
instrectL4_71_12,0,31.361,2555
instrectL4_71_2,0,33.834,2550
instsquare12_13_17,1+,103.555,2180
instsquare12_16_10,1+,130.799,2174
instsquare12_16_4,1+,105.129,2175
insttri200_101_10,1+,67.010,3325
insttri200_101_7,1+,42.874,3324
insttri200_101_8,1+,124.086,3322
insttri200_1_1,0+,199.991,3569
insttri200_111_3,1+,40.020,3304
insttri200_11_5,1+,121.208,3505
insttri200_1_2,0+,199.992,3569
insttri200_121_3,1+,86.877,3284
insttri200_121_5,1+,48.793,3284
insttri200_131_10,1+,53.628,3263
insttri200_131_4,1+,47.925,3265
insttri200_131_6,1+,57.647,3264
insttri200_141_3,1+,97.383,3243
insttri200_141_6,0+,199.991,3242
insttri200_141_7,1+,53.670,3242
insttri200_151_5,1+,66.885,3223
insttri200_161_1,1+,73.874,3203
insttri200_161_5,1+,121.115,3203
insttri200_17_1,1+,0.028,3537
insttri200_171_6,1+,30.036,3185
insttri200_17_2,1+,16.737,3537
insttri200_1_9,1+,106.725,3525
insttri200_21_7,1+,167.832,3485
insttri200_221_2,1+,55.344,3079
insttri200_25_1,1+,0.843,3520
insttri200_25_2,1+,0.035,3521
insttri200_31_10,1+,39.272,3465
insttri200_31_8,1+,45.104,3465
insttri200_33_1,0+,199.992,3504
insttri200_41_1,0+,199.994,3488
insttri200_41_2,1+,0.422,3489
insttri200_41_3,1+,43.952,3445
