algorithm,instance_id,runtime
ham4,instrectL4_34_8,4.014
ham4,instrectL4_34_9,51.999
ham4,instrectL4_36_5,39.654
ham4,instrectL4_36_8,96.613
ham4,instrectL4_38_0,199.996
ham4,instrectL4_38_4,6.851
ham4,instrectL4_38_6,23.821
ham4,instrectL4_38_7,15.385
ham4,instrectL4_38_8,17.366
ham4,instrectL4_40_0,34.290
ham4,instrectL4_40_7,22.319
ham4,instrectL4_40_8,71.584
ham4,instrectL4_41_0,0.002
ham4,instrectL4_41_1,0.002
ham4,instrectL4_41_5,7.197
ham4,instrectL4_42_0,3.453
ham4,instrectL4_44_0,4.055
ham4,instrectL4_4_5,86.242
ham4,instrectL4_4_6,13.404
ham4,instrectL4_4_7,27.902
ham4,instrectL4_4_8,3.002
ham4,instrectL4_48_5,199.995
ham4,instrectL4_48_9,54.762
ham4,instrectL4_50_8,99.338
ham4,instrectL4_60_7,199.996
ham4,instrectL4_60_9,39.821
ham4,instrectL4_6_1,35.751
ham4,instrectL4_61_0,71.543
ham4,instrectL4_61_13,70.237
ham4,instrectL4_61_4,80.024
ham4,instrectL4_62_2,199.995
ham4,instrectL4_71_12,96.022
ham4,instrectL4_71_2,62.303
ham4,instsquare12_13_17,0.312
ham4,instsquare12_16_10,0.937
ham4,instsquare12_16_4,1.887
ham4,insttri200_101_10,1.130
ham4,insttri200_101_7,199.995
ham4,insttri200_101_8,8.049
ham4,insttri200_1_1,34.365
ham4,insttri200_111_3,199.996
ham4,insttri200_11_5,24.204
ham4,insttri200_1_2,7.111
ham4,insttri200_121_3,199.995
ham4,insttri200_121_5,199.995
ham4,insttri200_131_10,199.995
ham4,insttri200_131_4,199.995
ham4,insttri200_131_6,5.638
ham4,insttri200_141_3,199.995
ham4,insttri200_141_6,199.995
ham4,insttri200_141_7,199.996
ham4,insttri200_151_5,199.996
ham4,insttri200_161_1,199.995
ham4,insttri200_161_5,199.995
ham4,insttri200_17_1,199.995
ham4,insttri200_171_6,199.996
ham4,insttri200_17_2,12.123
ham4,insttri200_1_9,14.343
ham4,insttri200_21_7,1.122
ham4,insttri200_221_2,199.996
ham4,insttri200_25_1,49.124
ham4,insttri200_25_2,13.432
ham4,insttri200_31_10,31.367
ham4,insttri200_31_8,6.770
ham4,insttri200_33_1,24.639
ham4,insttri200_41_1,13.736
ham4,insttri200_41_2,2.477
ham4,insttri200_41_3,7.685
ham4,insttri200_49_1,1.874
ham4,insttri200_49_2,199.995
ham4,insttri200_51_1,199.995
ham4,insttri200_51_10,4.517
ham4,insttri200_51_5,7.613
ham4,insttri200_51_6,6.032
ham4,insttri200_51_9,5.444
ham4,insttri200_57_1,199.995
ham4,insttri200_57_2,0.166
ham4,insttri200_61_10,199.995
ham4,insttri200_65_1,69.726
ham4,insttri200_65_2,29.950
ham4,insttri200_71_10,199.995
ham4,insttri200_71_3,4.399
ham4,insttri200_73_1,4.931
ham4,insttri200_73_2,199.996
ham4,insttri200_81_1,17.282
ham4,insttri200_81_10,6.549
ham4,insttri200_81_2,199.995
ham4,insttri200_81_8,0.846
ham4,insttri200_81_9,6.355
ham4,insttri200_89_1,199.996
ham4,insttri200_9_1,199.995
ham4,insttri200_91_5,199.996
ham4,insttri200_91_6,199.995
ham4,insttri200_9_2,3.746
ham4,insttri2010_141_0,0.389
ham4,insttri2010_181_6,199.995
ham4,insttri2010_191_7,199.995
ham4,insttri2010_191_9,38.774
