ins,model,time,groundsize
instrectL4_12_6,0+,199.989,2938
instrectL4_1_3,1+,4.735,2705
instrectL4_1_4,1+,61.418,2705
instrectL4_14_5,1+,87.068,2935
instrectL4_14_8,0+,199.989,2935
instrectL4_14_9,1+,174.450,2934
instrectL4_1_6,0+,199.982,2705
instrectL4_16_1,0+,199.981,2931
instrectL4_16_4,1+,13.059,2931
instrectL4_16_6,1+,158.682,2931
instrectL4_16_8,0+,199.990,2931
instrectL4_1_7,1+,58.401,2705
instrectL4_1_8,1+,62.607,2705
instrectL4_18_4,0+,199.995,2927
instrectL4_18_8,1+,114.556,2927
instrectL4_20_4,1+,22.352,2923
instrectL4_20_5,0+,199.989,2923
instrectL4_20_6,1+,40.299,2923
instrectL4_2_1,1+,32.252,2959
instrectL4_21_10,0+,199.991,2663
instrectL4_21_11,1+,87.780,2665
instrectL4_21_18,1+,13.301,2664
instrectL4_21_2,1+,0.114,2665
instrectL4_21_5,1+,17.496,2664
instrectL4_21_7,1+,4.024,2665
instrectL4_21_8,1+,49.980,2664
instrectL4_2_2,1+,114.446,2959
instrectL4_22_0,0+,199.981,2919
instrectL4_2_3,0+,199.980,2959
instrectL4_24_7,1+,22.695,2914
instrectL4_24_8,1+,158.235,2914
instrectL4_26_2,0+,199.994,2910
instrectL4_26_3,0+,199.994,2908
instrectL4_26_5,0+,199.978,2908
instrectL4_2_8,0+,199.992,2959
instrectL4_28_7,1+,147.409,2907
instrectL4_28_9,1+,13.201,2907
instrectL4_30_0,0+,199.994,2900
instrectL4_30_2,0+,199.944,2903
instrectL4_31_0,1+,28.855,2643
instrectL4_31_16,1+,26.678,2645
instrectL4_31_7,1+,22.041,2644
instrectL4_31_8,1+,59.246,2643
instrectL4_32_3,0+,199.994,2898
instrectL4_32_4,0+,199.992,2898
instrectL4_32_7,1+,65.119,2898
instrectL4_34_0,1+,21.522,2892
instrectL4_34_3,1+,23.585,2893
instrectL4_34_4,1+,5.260,2894
instrectL4_34_8,0+,199.992,2894
instrectL4_34_9,1+,26.767,2894
instrectL4_36_5,0+,199.994,2890
instrectL4_36_8,1+,1.763,2889
instrectL4_38_0,0+,199.992,2885
instrectL4_38_4,0+,199.992,2887
instrectL4_38_6,1+,4.477,2885
instrectL4_38_7,1+,31.602,2885
instrectL4_38_8,0+,199.988,2886
instrectL4_40_0,1+,52.583,2883
instrectL4_40_7,1+,19.464,2881
instrectL4_40_8,0+,199.994,2883
instrectL4_41_0,0,0.004,2619
instrectL4_41_1,0,0.004,2619
instrectL4_41_5,1+,8.705,2622
instrectL4_42_0,1+,3.304,2876
instrectL4_44_0,1+,10.344,2875
instrectL4_4_5,0+,199.992,2955
instrectL4_4_6,0+,199.992,2955
instrectL4_4_7,1+,193.656,2955
instrectL4_4_8,1+,29.148,2955
instrectL4_48_5,1+,9.386,2864
instrectL4_48_9,1+,69.065,2864
instrectL4_50_8,1+,13.200,2862
instrectL4_60_7,0,24.854,2837
instrectL4_60_9,1+,21.545,2840
instrectL4_6_1,0+,199.992,2950
instrectL4_61_0,0,23.891,2584
instrectL4_61_13,0,24.972,2578
instrectL4_61_4,0,54.273,2581
instrectL4_62_2,0,145.423,2833
instrectL4_71_12,0,95.386,2559
instrectL4_71_2,0,32.297,2554
instsquare12_13_17,1+,0.311,2184
instsquare12_16_10,1+,6.951,2178
instsquare12_16_4,1+,19.698,2179
insttri200_101_10,1+,2.527,3329
insttri200_101_7,1+,7.175,3327
insttri200_101_8,1+,0.308,3326
insttri200_1_1,1+,0.116,3573
insttri200_111_3,1+,8.712,3308
insttri200_11_5,0+,199.994,3509
insttri200_1_2,1+,117.655,3573
insttri200_121_3,1+,12.928,3288
insttri200_121_5,1+,1.546,3288
insttri200_131_10,1+,8.580,3266
insttri200_131_4,1+,0.646,3269
insttri200_131_6,1+,43.105,3268
insttri200_141_3,1+,62.268,3247
insttri200_141_6,1+,15.428,3246
insttri200_141_7,1+,22.661,3245
insttri200_151_5,1+,57.679,3227
insttri200_161_1,1+,55.534,3207
insttri200_161_5,1+,142.391,3207
insttri200_17_1,1+,0.170,3541
insttri200_171_6,1+,20.272,3188
insttri200_17_2,1+,111.766,3541
insttri200_1_9,1+,140.716,3529
insttri200_21_7,1+,0.056,3489
insttri200_221_2,1+,79.029,3083
insttri200_25_1,1+,52.281,3524
insttri200_25_2,1+,0.166,3525
insttri200_31_10,1+,0.404,3469
insttri200_31_8,1+,0.099,3469
insttri200_33_1,1+,0.985,3508
insttri200_41_1,0+,199.991,3491
insttri200_41_2,1+,60.321,3493
insttri200_41_3,0+,199.993,3449
