ins,model,time,groundsize
instrectL1412_72_8,0,148.833,1771
instrectL1412_8_0,1+,4.610,1899
instrectL1412_8_19,1+,47.743,1899
instrectL1412_8_21,0+,199.992,1899
instrectL1412_8_23,1+,6.064,1899
instrectL1412_8_37,0+,199.993,1899
instrectL1412_8_6,1+,103.923,1899
instrectL4_0_0,1+,100.794,2195
instrectL4_0_4,1+,59.404,2195
instrectL4_0_5,1+,70.493,2195
instrectL4_0_7,1+,91.859,2195
instrectL4_0_9,1+,60.651,2195
instrectL4_1_0,1+,179.471,2001
instrectL4_10_8,1+,18.717,2175
instrectL4_11_0,0+,199.996,1981
instrectL4_1_11,1+,85.152,2001
instrectL4_11_1,0+,199.994,1981
instrectL4_11_10,0+,199.991,1981
instrectL4_11_16,0+,199.994,1981
instrectL4_11_18,1+,6.478,1981
instrectL4_11_2,1+,12.470,1981
instrectL4_1_15,1+,39.146,2001
instrectL4_11_5,0+,199.994,1981
instrectL4_1_16,1+,37.675,2001
instrectL4_1_17,0+,199.994,2001
instrectL4_1_19,1+,4.214,2001
instrectL4_11_9,0+,199.955,1981
instrectL4_1_2,1+,195.308,2001
instrectL4_12_6,0+,199.993,2171
instrectL4_1_3,0+,199.987,2001
instrectL4_1_4,1+,25.539,2001
instrectL4_14_5,1+,35.217,2167
instrectL4_14_8,0+,199.990,2167
instrectL4_14_9,0+,199.995,2167
instrectL4_1_6,1+,126.525,2001
instrectL4_16_1,1+,108.209,2163
instrectL4_16_4,1+,54.977,2163
instrectL4_16_6,0+,199.994,2163
instrectL4_16_8,1+,7.348,2163
instrectL4_1_7,1+,3.232,2001
instrectL4_1_8,1+,21.294,2001
instrectL4_18_4,0+,199.944,2159
instrectL4_18_8,1+,2.482,2159
instrectL4_20_4,1+,15.475,2155
instrectL4_20_5,0+,199.996,2155
instrectL4_20_6,0+,199.994,2155
instrectL4_2_1,0+,199.993,2191
instrectL4_21_10,1+,194.519,1961
instrectL4_21_11,1+,2.967,1961
instrectL4_21_18,1+,8.089,1961
instrectL4_21_2,1+,2.513,1961
instrectL4_21_5,1+,118.166,1961
instrectL4_21_7,1+,43.509,1961
instrectL4_21_8,0+,199.994,1961
instrectL4_2_2,0+,199.996,2191
instrectL4_22_0,1+,115.633,2151
instrectL4_2_3,1+,7.346,2191
instrectL4_24_7,1+,42.773,2147
instrectL4_24_8,0+,199.995,2147
instrectL4_26_2,0+,199.971,2143
instrectL4_26_3,0+,199.995,2143
instrectL4_26_5,1+,152.561,2143
instrectL4_2_8,0+,199.994,2191
instrectL4_28_7,0+,199.992,2139
instrectL4_28_9,1+,48.078,2139
instrectL4_30_0,1+,13.876,2134
instrectL4_30_2,0+,199.995,2135
instrectL4_31_0,1+,64.627,1941
instrectL4_31_16,1+,0.077,1941
instrectL4_31_7,1+,61.789,1941
instrectL4_31_8,1+,8.285,1941
instrectL4_32_3,0+,199.994,2131
instrectL4_32_4,0+,199.996,2131
instrectL4_32_7,0+,199.951,2131
instrectL4_34_0,0+,199.992,2126
instrectL4_34_3,1+,24.655,2127
instrectL4_34_4,0+,199.996,2127
instrectL4_34_8,1+,111.326,2127
instrectL4_34_9,0+,199.993,2127
instrectL4_36_5,0+,199.996,2123
instrectL4_36_8,1+,97.972,2123
instrectL4_38_0,0+,199.994,2119
instrectL4_38_4,1+,36.263,2119
instrectL4_38_6,0+,199.993,2119
instrectL4_38_7,1+,197.072,2119
instrectL4_38_8,0+,199.993,2119
